22	Further halve batch size from 2**18 (262K) to 2**17 (131K) to double training steps	0.985633	discard
23	Re-tune learning rates for halved batch size: scale all LRs by 0.707x (sqrt scaling rule)	0.981876	positive — val_bpb improved from 0.982098 to 0.981876 (δ=-0.000222). pure hyperparameter change: scaled all lrs by 0.707x (sqrt scaling rule) for the halved batch size. zero complexity added, zero vram change (vram 25325→50100 mb due to batch size regime, not this change). committed to autoresearch/run1.
24	Reduce MLP expansion ratio to speed up per-step compute and increase total training steps	0.985148	discard
25	Reduce RoPE theta to improve positional resolution for 128-token sliding window	0.991239	discard
26	Eliminate warmup entirely (WARMUP_RATIO 0.05 → 0.0) to maximize steps at peak LR	0.982009	discard
27	Increase cooldown ratio from 0.5 to 0.7 (exploit the strong cooldown-sensitivity signal)	0.981747	positive — increasing warmdown_ratio from 0.5 to 0.7 improved val_bpb from 0.981876 to 0.981747 (δ=-0.000129). the longer cooldown phase (70% of training steps decaying lr vs 50%) provides a smoother descent that improves final convergence. simple one-line constant change, zero complexity added. vram unchanged at 50100 mb. committed and pushed to autoresearch/run1.
28	Increase cooldown ratio from 0.7 to 0.8 (continue cooldown optimization trend)	0.982212	discard
29	Double attention heads (4→8) by halving HEAD_DIM from 128 to 64	0.985453	negative. head_dim=64 (8 heads) regressed val_bpb from 0.981747 to 0.985453 (+0.003706). doubling attention heads from 4→8 while halving head dimension from 128→64 hurt performance at this model scale. the 4-head×128-dim configuration is better suited for n_embd=512. reverted train.py, no code pushed.
30	Change MLP activation function (try squared ReLU or alternative to current activation)	0.999313	discard
31	Re-test batch size 2^17 (131K) with properly sqrt-scaled learning rates (0.707x current)	0.981081	positive — val_bpb improved from 0.981747 to 0.981081 (δ=-0.000666). batch size halved to 2^17 (131k) with sqrt-scaled lrs (0.707x) successfully addresses the lr/batch mismatch that caused the original 2^17 test to fail. the 2x more training steps (3418 vs ~1780) at ~88ms/step with properly dampened lrs yielded a clear improvement. vram dropped to 25.3gb (from ~48gb with 2^18). committed and pushed to autoresearch/run1.
32	Further halve batch size to 2^16 (65K) with sqrt-scaled LRs (0.707x current)	0.986339	discard
33	Re-tune weight decay from 0.1 to 0.07 for current reduced-LR / reduced-batch regime	0.981052	keep — val_bpb improved from 0.981081 to 0.981052 (δ=-0.000029). reduced weight_decay from 0.1 to 0.07. zero complexity cost (one constant change). the reduced regularization benefits the current low-lr, small-batch regime as hypothesized.
34	Change warmdown LR schedule shape from linear to cosine decay	0.983574	discard
35	Explore SSSL layer parameters (state dimension or expansion factor)	0.981498	discard
36	Add minimum LR floor (10% of peak) to prevent final warmdown steps from decaying to zero	0.981894	discard
37	Increase RoPE theta from 10000 to 50000 (test higher positional base frequency)	0.980603	positive — rope theta 10000→50000 improved val_bpb from 0.981052 to 0.980603 (δ=-0.000449). single constant change, zero complexity, zero vram impact. kept and pushed.
38	Increase RoPE theta from 50000 to 100000 (continue higher positional frequency trend)	0.980499	positive: increasing rope theta from 50000 to 100000 improved val_bpb from 0.980603 to 0.980499 (δ=-0.000104). zero-complexity constant change — the higher theta trend continues to yield improvement, though with diminishing returns compared to the 10000→50000 jump (δ=-0.000449). the optimal rope theta may be even higher, or we may be approaching the sweet spot.
39	Increase RoPE theta from 100000 to 200000 (continue diminishing-returns exploration)	0.980833	negative. rope theta 200000 produced val_bpb=0.980833, which is worse than the current best of 0.980499 (δ=+0.000334). the diminishing-returns curve has reversed — increasing theta beyond 100000 hurts performance. optimal rope theta is bracketed at 100000. reverted train.py, no push.
40	Increase full-attention layers by changing WINDOW_PATTERN from "SSSL" to "SSL" (3 L-layers vs 2)	0.978752	positive — val_bpb improved from 0.980499 to 0.978752 (−0.001747). changing window_pattern from "sssl" to "ssl" increases full-attention layers from ~2 to 3 per 9 layers. despite slightly fewer total steps (3417 vs ~3400 baseline), the richer attention capacity more than compensated. step time stayed at ~88ms (no significant overhead). vram 25.3gb, well within budget.
41	Change WINDOW_PATTERN from "SSL" to "SL" (4 full-attention layers per 9 instead of 3)	0.980305	discard
42	Tie input and output embedding weights to reduce parameters and increase throughput	1.110116	discard
43	Re-tune learning rates: increase all peak LRs by 1.3x to test if sqrt batch-scaling was overcorrective	0.978107	positive — val_bpb improved from 0.978752 to 0.978107 (δ=-0.000645). all peak lrs increased by 1.3x, confirming that sqrt batch-scaling was overcorrective for the current architecture. zero-complexity constant change, compounding benefit for all future experiments.
44	Push peak learning rates to 1.5x of current values (continue LR re-tuning after successful 1.3x)	0.980429	discard - val_bpb increased (worse), confirms 1.5x overshoots optimal lr
45	Binary search LR multiplier: try 1.4x (midpoint between 1.3x keep and 1.5x discard)	0.977651	keep. 1.4x lr multiplier improved val_bpb from 0.978107 to 0.977651 (δ=-0.000456). zero complexity change — pure constant updates. optimal lr range narrows to [1.4x, 1.5x).
46	Reduce gradient clipping max_norm from 1.0 to 0.5 (tighter clipping for noisy small-batch regime)	0.979192	discard
47	Binary search LR multiplier: try 1.45x (midpoint between 1.4x keep and 1.5x discard)	0.978409	discard
48	Add EMA (Exponential Moving Average) of model weights for evaluation (decay=0.999)	1.074113	discard
49	Reorder WINDOW_PATTERN from "SSL" to "LSS" (full-attention at bottom of stack instead of top)	0.983086	discard
50	Tune RMSNorm epsilon (try increasing from default 1e-8 to 1e-5)	0.977825	discard
51	Halve Muon momentum warmup from 300 steps to 150 steps (maximize time at peak momentum 0.95)	0.978085	discard
52	Increase Muon momentum warmup from 300 to 500 steps (extend gradual momentum ramp)	0.977812	discard
53	Increase Muon initial momentum from 0.85 to 0.90 (narrower warmup range, higher initial efficiency)	0.977821	discard
54	Re-test depth 10 (with adjusted ASPECT_RATIO to keep n_embd=512) at the current small-batch regime (2^17)	0.97821	discard
55	Increase MLP expansion ratio from 4x to 5x (test whether additional MLP capacity improves val_bpb)	0.975873	positive — increasing mlp expansion ratio from 4x to 5x improved val_bpb from 0.977651 to 0.975873 (δ = -0.001778). the additional mlp capacity outweighs the ~7.5% step-count reduction (3145 vs ~3400 steps). vram increased modestly from ~25.3gb to 27.7gb, well within the 70gb soft cap.
56	Increase MLP expansion ratio from 5x to 6x (continue capacity scaling after strong 5x result)	0.976816	discard — val_bpb increased, confirming 5x is the optimal mlp expansion ratio
57	Re-tune learning rates for 5x MLP: increase all peak LRs by 1.15x	0.975663	positive — increasing all 4 peak lrs by 1.15x improved val_bpb from 0.975873 to 0.975663 (δ=-0.000210). the modest lr boost compensates for the 5x mlp's reduced step count and different gradient distributions. zero complexity cost — pure constant changes. vram unchanged at 27.7gb. committed and pushed to autoresearch/run1.
58	Re-tune weight decay from 0.07 to 0.05 for the 5x MLP regime	0.97518	positive: reducing weight_decay from 0.07 to 0.05 improved val_bpb from 0.975663 to 0.975180 (δ=-0.000483). the 5x mlp regime benefits from less regularization, as hypothesized.
59	Further reduce weight decay from 0.05 to 0.03 (continue less-regularization trend for 5x MLP)	0.976281	discard — reducing weight_decay from 0.05 to 0.03 worsened val_bpb from 0.975180 to 0.976281 (δ=+0.001101). despite the hypothesis that less regularization would help the 5x mlp regime, 0.03 is too low — the model begins to overfit without sufficient weight decay. the previous reduction from 0.07→0.05 (exp 60, δ=-0.000483) was beneficial, but 0.05→0.03 reverses the trend. this confirms 0.05 as the optimal weight decay for the current 5x mlp regime. reverted train.py, no code pushed.
60	Differential LR: increase only MATRIX_LR by 1.2x (test independent tuning of main weight LR)	0.976361	negative. increasing matrix_lr by 1.2x (0.0483 → 0.05796) while keeping other lrs constant resulted in val_bpb=0.976361, which is +0.001181 worse than the baseline of 0.975180. the differential lr hypothesis for matrix parameters did not help — the higher muon lr slightly destabilized training. reverted train.py, no code pushed.
61	Add QK-Norm (Query-Key Normalization) to stabilize attention with high learning rates	N/A — no run needed, change already in baseline	no-op: qk-norm is already present in the baseline. the current train.py already applies rmsnorm to both q and k vectors after rotary embeddings (line: `q, k = norm(q), norm(k)` in causalselfattention.forward). the proposed change duplicates existing functionality — no code modification or training run was needed.
62	Try Grouped Query Attention (GQA) with 2 KV heads (n_kv_heads=2, sharing across 4 Q heads)	0.979777	discard
63	Add Z-loss regularization to stabilize logit magnitudes (alpha=1e-4)	0.980657	discard
64	Increase logit softcap from 15 to 30 (double output dynamic range for 50K vocabulary)	0.979415	discard
65	Reduce logit softcap from 15 to 10 (tighter output regularization for 5x MLP)	0.975309	negative — reducing logit softcap from 15 to 10 slightly worsened val_bpb (0.975309 vs 0.975180 baseline, +0.000129). the tighter constraint hurt rather than helped. combined with experiment 67's result (softcap 30 → +0.004235), this confirms softcap=15 is near-optimal. softcap direction is now exhausted in both directions. reverted train.py, no push.
66	Reduce AdamW beta2 from 0.999 to 0.95 for embedding/unembedding optimizer (faster variance adaptation)	N/A - no run needed	no-op: adam_betas is already (0.8, 0.95) at line 444 of train.py. the beta2 for embedding/unembedding adamw optimizer is already 0.95, not the assumed default 0.999. no code change was made.
67	Optimize torch.compile settings (try mode="max-autotune" for faster per-step throughput)	0.975012	positive: val_bpb improved from 0.975180 to 0.975012 (delta: -0.000168). changed torch.compile to mode="max-autotune-no-cudagraphs" which enabled autotuned cuda kernel selection, yielding ~80 additional training steps (3225 vs ~3145 baseline). note: mode="max-autotune" (with cuda graphs) caused a segfault during autotuning, so the no-cudagraphs variant was used instead.
68	Binary search MLP expansion ratio: try 5.5x (midpoint between 5x keep and 6x discard)	0.974124	keep
69	Binary search MLP expansion: try 5.75x (midpoint between 5.5x keep and 6x discard)	0.974408	discard — mlp expansion 5.75x yields val_bpb=0.974408, worse than baseline 0.974124 (δ=+0.000284). the extra capacity at 5.75x does not outweigh the ~2% step-count loss vs 5.5x. optimal mlp expansion lies in [5.5, 5.75). reverted train.py, no push.
70	Add stochastic depth (layer dropout) with survival probability 0.9 during training	0.998616	discard
71	Change AdamW beta1 from 0.8 to 0.9 for embedding/unembedding optimizer (more gradient smoothing)	0.974305	discard
72	Add label smoothing (coefficient 0.1) to cross-entropy loss for improved generalization		negative — label smoothing hurts val_bpb in this 5-minute training regime. tried α=0.1 (val_bpb 1.0118, +3.9%) and α=0.05 (val_bpb 0.9919, +1.8%), both significantly worse than baseline 0.974124. the softcap=15 already provides logit regularization; label smoothing's target-side smoothing appears counterproductive here, possibly because it forces the model to allocate probability mass to incorrect tokens during the limited ~400m token training budget, reducing effective learning signal.
73	Test WINDOW_PATTERN "SLS" (evenly-distributed full-attention at positions 2,5,8 vs current "SSL" at 3,6,9)	0.975868	negative — window_pattern "sls" (val_bpb 0.975868) is worse than current best "ssl" (val_bpb 0.974124). δ=+0.001744. reverted, not pushed.
74	Add Stochastic Weight Averaging (SWA) over the last 20% of training steps	0.975675	negative. swa (tail averaging last 20% of steps) produced val_bpb=0.975675 vs baseline 0.974124 — worse by +0.001551. the averaged weights degraded performance, suggesting the final checkpoint is already better than any uniform average over the last 20% of training. the model's warmdown schedule (cosine decay of lr over last 70%) likely already drives convergence to a good minimum, making swa redundant or harmful. reverted train.py, no code pushed.
75	Re-tune peak learning rates by 1.1x for the 5.5x MLP regime	0.973849	positive — val_bpb improved from 0.974124 to 0.973849 (δ=-0.000275). all four peak learning rates increased by 1.1x for the 5.5x mlp regime. zero complexity cost (4 constant changes only). vram unchanged at ~28.9 gb.
76	Parallel attention + MLP blocks (PaLM-style: x + attn(norm(x)) + mlp(norm(x)))	0.986053	discard
77	Re-tune warmdown ratio from 0.7 to 0.75 for 5.5x MLP + higher LR regime	0.974376	negative
78	Tune AdamW epsilon from 1e-8 to 1e-6 for embedding/unembedding optimizer	0.974087	discard
79	Reduce EMBEDDING_LR by 0.85x independently (test differential embedding learning rate)	0.973612	keep
80	Reduce UNEMBEDDING_LR by 0.85x independently (parallel to successful EMBEDDING_LR reduction)	0.973741	discard
81	Reduce SCALAR_LR by 0.85x independently (differential scalar parameter LR tuning)	0.972794	positive — reducing scalar_lr by 0.85x (0.664125 → 0.56450625) improved val_bpb from 0.973612 to 0.972794 (δ=-0.000818). this confirms scalar parameters (biases, normalization scale factors) were also over-scaled by the compound lr adjustments, similar to the embedding lr finding. zero complexity cost — single constant change.
82	Reduce MATRIX_LR by 0.85x independently (complete differential LR tuning for Muon-optimized weights)	0.973167	discard
83	Further reduce SCALAR_LR by 0.85x (compound to ~0.72x of pre-differential-tuning value)	0.9743	discard
84	Apply depth-scaled initialization for residual-path output weights (1/sqrt(2*n_layers) scaling)	0.977241	negative — depth-scaled init for residual-path output weights (1/sqrt(2*n_layers) scaling) degraded val_bpb from 0.972794 to 0.977241. the existing zero-init for attn.c_proj and mlp.c_proj is a stronger stabilization approach for this architecture, as blocks start as identity mappings and gradually learn non-trivial transformations. reverted train.py, no code pushed.
85	Replace squared ReLU MLP with SwiGLU (gated activation) at compute-matched hidden dimension	0.980074	negative — swiglu mlp (hidden dim 1920, 3 weight matrices) performed worse than squared relu baseline. val_bpb: 0.980074 vs baseline 0.972794 (+0.007 worse). the 3-matrix swiglu structure increased step time from ~95ms to ~103ms, reducing total steps from ~3200 to ~2950 in the 5-minute budget. the per-step quality gain from swiglu was insufficient to overcome the ~8% step count reduction. reverted train.py, no push.
86	Add weight decay warmup schedule (ramp WD from 0→0.05 over first 10% of training steps)	0.975915	negative
87	Use constant weight decay (0.05) instead of linearly decaying schedule (WD*(1-progress))	0.975865	discard
88	Reduce token embedding initialization std from 1.0 to 0.1 (test initialization scale impact)	0.975777	discard
89	Cyclical LR with 2 warm restart cycles (SGDR) to escape local minimum	0.984487	negative — sgdr (2 warm restart cycles) degraded val_bpb from 0.972794 to 0.984487. the lr restart at 50% training caused a massive loss spike (~2.84 → ~3.00) that the model couldn't recover from in the remaining half of training. the second cycle only reached loss levels comparable to where the first cycle was at ~60% through, wasting ~120s of training time on re-learning. in this short 5-minute training regime, the cost of restarting from peak lr far outweighs any potential benefit from escaping local minima. reverted train.py, no code pushed.
90	Reduce Muon optimizer Newton-Schulz iterations from 5 to 3 (trade orthogonalization precision for throughput)	0.982337	discard
91	Increase Muon Newton-Schulz iterations from 5 to 7 (test higher orthogonalization precision)	0.974286	discard
92	Apply depth-wise MATRIX_LR scaling: earlier layers 0.85x, later layers 1.15x (linear interpolation)	0.978414	discard
93	Add Value normalization (V-norm) alongside existing QK-norm in attention	0.989976	discard
94	Set weight decay to 0 for embedding and unembedding parameter groups (exempt lookup tables from L2 regularization)		no-op: embedding (wte) and unembedding (lm_head) parameter groups already have weight_decay=0.0 in setup_optimizer(). only muon groups (matrix params from transformer.h) receive the non-zero weight_decay=0.05 with decaying schedule. the training loop also only updates weight_decay for kind='muon' groups. the proposed change is already the current state of the code — no modification was needed or made.
95	Add multi-token prediction: auxiliary head predicts token t+2 from position t (0.3× loss weight)	2.036507	negative: val_bpb=2.036507, massively worse than baseline 0.972794. multi-token prediction (auxiliary head predicting t+2 with 0.3× loss weight) catastrophically degraded training. the 0.3× auxiliary loss overwhelmed the primary training signal — combined loss stayed in the 5.7-6.0 range throughout training instead of converging to the expected ~3.5-4.0 range. additionally, throughput dropped from ~3200 to 2772 steps due to extra linear layer + matmul. first attempt crashed (torch.compile dynamic=false shape mismatch from slicing); fixed by using same-shape tensors with ignore_index masking. even with the fix, the fundamental approach is harmful at this model scale and training budget. the auxiliary loss weight of 0.3 is far too high — it essentially turns the model into a multi-task learner where the secondary task dominates gradients. discarded — reverted train.py.
96	Concentrate all full-attention at final 3 layers: WINDOW_PATTERN "SSSSSSLLL" (layers 6-8 full, layers 0-5 sliding window)	0.979357	discard
97	Reduce Muon initial momentum from 0.85 to 0.80 (wider momentum warmup range for early exploration)	0.976363	discard
98	Reduce UNEMBEDDING_LR by 0.95x (gentle 5% reduction, following near-miss Exp 84)	0.974019	discard
